OrderID,ClientID,OrderDate,OrderValue,Status
3001,1003,2023-01-15,8146,Pending
3002,1008,2023-01-18,4434,Pending
3003,1009,2023-01-21,14107,Delivered
3004,1007,2023-01-24,11205,Delivered
3005,1006,2023-01-27,11243,Pending
3006,1002,2023-01-30,3074,Pending
3007,1009,2023-02-02,2276,Pending
3008,1001,2023-02-05,3742,Delivered
3009,1009,2023-02-08,3854,Pending
3010,1002,2023-02-11,13916,Delivered
3011,1006,2023-02-14,6067,Delivered
3012,1002,2023-02-17,2259,Delivered
3013,1006,2023-02-20,11888,Delivered
3014,1007,2023-02-23,12852,Pending
3015,1005,2023-02-26,2310,Delivered
3016,1007,2023-03-01,2599,Delivered
3017,1009,2023-03-04,3075,Delivered
3018,1001,2023-03-07,3372,Pending
3019,1003,2023-03-10,8801,Delivered
3020,1005,2023-03-13,10761,Delivered
3021,1009,2023-03-16,12107,Pending
3022,1005,2023-03-19,5080,Pending
3023,1005,2023-03-22,8048,Delivered
3024,1005,2023-03-25,13527,Pending
3025,1009,2023-03-28,10285,Pending
3026,1002,2023-03-31,2802,Delivered
3027,1002,2023-04-03,8826,Delivered
3028,1003,2023-04-06,7879,Delivered
3029,1004,2023-04-09,8033,Delivered
3030,1002,2023-04-12,4756,Pending
3031,1004,2023-04-15,9505,Delivered
3032,1004,2023-04-18,10142,Pending
3033,1007,2023-04-21,5041,Delivered
3034,1004,2023-04-24,3880,Delivered
3035,1002,2023-04-27,4893,Delivered
3036,1005,2023-04-30,11065,Pending
3037,1006,2023-05-03,12034,Delivered
3038,1010,2023-05-06,9042,Pending
3039,1004,2023-05-09,10189,Delivered
3040,1003,2023-05-12,2954,Pending
3041,1004,2023-05-15,10788,Pending
3042,1003,2023-05-18,8318,Pending
3043,1005,2023-05-21,8172,Pending
3044,1002,2023-05-24,10700,Pending
3045,1008,2023-05-27,4200,Pending
3046,1004,2023-05-30,9049,Delivered
3047,1004,2023-06-02,11788,Pending
3048,1007,2023-06-05,13029,Delivered
3049,1002,2023-06-08,9504,Pending
3050,1004,2023-06-11,3152,Delivered
