TransactionID,ClientID,TransactionDate,AmountPaid,PaymentType
2001,1007,2023-01-01,2854,Cheque
2002,1004,2023-01-08,8607,Cheque
2003,1003,2023-01-15,3520,Cheque
2004,1004,2023-01-22,6831,Wire Transfer
2005,1010,2023-01-29,7922,Cheque
2006,1003,2023-02-05,2125,Bank Draft
2007,1009,2023-02-12,8023,Bank Draft
2008,1009,2023-02-19,4456,Wire Transfer
2009,1005,2023-02-26,4217,Bank Draft
2010,1008,2023-03-05,8605,Bank Draft
2011,1008,2023-03-12,6195,Bank Draft
2012,1004,2023-03-19,1334,Bank Draft
2013,1008,2023-03-26,9313,Wire Transfer
2014,1005,2023-04-02,6744,Cheque
2015,1010,2023-04-09,2725,Cheque
2016,1009,2023-04-16,4631,Cheque
2017,1008,2023-04-23,1914,Bank Draft
2018,1010,2023-04-30,2509,Wire Transfer
2019,1006,2023-05-07,8329,Cheque
2020,1007,2023-05-14,8918,Cheque
2021,1004,2023-05-21,6792,Wire Transfer
2022,1007,2023-05-28,4013,Cheque
2023,1001,2023-06-04,6610,Bank Draft
2024,1010,2023-06-11,3683,Wire Transfer
2025,1001,2023-06-18,5390,Cheque
2026,1007,2023-06-25,2274,Bank Draft
2027,1010,2023-07-02,2929,Wire Transfer
2028,1003,2023-07-09,5310,Wire Transfer
2029,1010,2023-07-16,7113,Bank Draft
2030,1002,2023-07-23,9865,Wire Transfer
